date,time,frame,frequency,amplitude,activity
30/08/2019,14:00,6380,0,0,5.526271603
30/08/2019,14:00,6390,0,0,5.583049857
30/08/2019,14:00,6400,0,0,5.114893564
30/08/2019,14:00,6410,0,0,5.249283276
30/08/2019,14:00,6420,0,0,5.148972954
30/08/2019,14:00,6430,0,0,6.126703192
30/08/2019,14:00,6440,0,0,5.982363294
30/08/2019,14:00,6450,0,0,5.649964863
30/08/2019,14:00,6460,0,0,5.697850138
30/08/2019,14:00,6470,0,0,5.536408356
30/08/2019,14:00,6480,0,0,5.450898937
30/08/2019,14:00,6490,0,0,6.398965181
30/08/2019,14:00,6500,0,0,6.052263357
30/08/2019,14:00,6510,0,0,7.017369295
30/08/2019,14:00,6520,0,0,6.872096567
30/08/2019,14:00,6530,0,0,6.724336291
30/08/2019,14:00,6540,0,0,6.506489388
30/08/2019,14:00,6550,0,0,6.306117499
30/08/2019,14:00,6560,0,0,5.704566514
30/08/2019,14:00,6570,0,0,5.777824765
30/08/2019,14:00,6580,0,0,6.257734716
30/08/2019,14:00,6590,0,0,5.747476695
30/08/2019,14:00,6600,0,0,5.294059117
30/08/2019,14:00,6610,0,0,5.392379401
30/08/2019,14:00,6620,0,0,5.365824839
30/08/2019,14:00,6630,0,0,5.354630879
30/08/2019,14:00,6640,0,0,5.493622552
30/08/2019,14:00,6650,0,0,6.099837688
30/08/2019,14:00,6660,0,0,5.42975479
30/08/2019,14:00,6670,0,0,6.369052431
30/08/2019,14:00,6680,500,820,4.754137101
30/08/2019,14:00,6690,500,820,0.718216927
30/08/2019,14:00,6700,500,820,1.061000864
30/08/2019,14:00,6710,500,820,1.616407858
30/08/2019,14:00,6720,500,820,1.090478293
30/08/2019,14:00,6730,500,820,1.059694902
30/08/2019,14:00,6740,500,820,1.157704243
30/08/2019,14:00,6750,500,820,0.953290091
30/08/2019,14:00,6760,500,820,1.041846755
30/08/2019,14:00,6770,500,820,1.36093681
30/08/2019,14:00,6780,500,820,0.930591228
30/08/2019,14:00,6790,500,820,0.955653261
