date,time,frame,frequency,activity
29/08/2019,15:00:00,4610,0,6.2780625
29/08/2019,15:00:00,4620,0,5.520625
29/08/2019,15:00:00,4630,0,5.7864375
29/08/2019,15:00:00,4640,0,6.031125
29/08/2019,15:00:00,4650,0,5.4948125
29/08/2019,15:00:00,4660,0,5.8098125
29/08/2019,15:00:00,4670,0,5.215875
29/08/2019,15:00:00,4680,0,4.8284375
29/08/2019,15:00:00,4690,0,5.365875
29/08/2019,15:00:00,4700,0,4.9050625
29/08/2019,15:00:00,4710,0,3.17475
29/08/2019,15:00:00,4720,1000,0.6439375
29/08/2019,15:00:00,4730,1000,0.42925
29/08/2019,15:00:00,4740,1000,0.38925
29/08/2019,15:00:00,4750,1000,0.4139375
29/08/2019,15:00:00,4760,1000,0.3605625
29/08/2019,15:00:00,4770,1000,0.2859375
29/08/2019,15:00:00,4780,1000,0.7900625
29/08/2019,15:00:00,4790,1000,0.6858125
29/08/2019,15:00:00,4800,1000,0.8764375
29/08/2019,15:00:00,4810,1000,0.7029375
29/08/2019,15:00:00,4820,1000,0.796375
29/08/2019,15:00:00,4830,1000,0.8005625
29/08/2019,15:00:00,4840,0,1.521
29/08/2019,15:00:00,4850,0,2.6894375
29/08/2019,15:00:00,4860,0,3.0725
29/08/2019,15:00:00,4870,0,3.198125
29/08/2019,15:00:00,4880,0,3.302375
29/08/2019,15:00:00,4890,0,3.983875
29/08/2019,15:00:00,4900,0,3.4995
29/08/2019,15:00:00,4910,0,3.879625
29/08/2019,15:00:00,4920,0,3.5498125
29/08/2019,15:00:00,4930,0,4.340875
29/08/2019,15:00:00,4940,0,4.1644375
29/08/2019,15:00:00,4950,0,3.9423125
29/08/2019,15:00:00,4960,0,5.24275
29/08/2019,15:00:00,4970,0,4.649625
29/08/2019,15:00:00,4980,0,5.3285
29/08/2019,15:00:00,4990,0,5.5734375
29/08/2019,15:00:00,5000,0,5.495
29/08/2019,15:00:00,5010,0,4.90025
29/08/2019,15:00:00,5020,0,5.1523125
29/08/2019,15:00:00,5030,0,5.3456875
29/08/2019,15:00:00,5040,0,5.22825
29/08/2019,15:00:00,5050,0,6.7125
29/08/2019,15:00:00,5060,0,6.1973125
29/08/2019,15:00:00,5070,0,5.6838125
29/08/2019,15:00:00,5080,0,6.7753125
29/08/2019,15:00:00,5090,0,5.437375
29/08/2019,15:00:00,5100,0,1.1133125
29/08/2019,15:00:00,5110,650,1.1661875
29/08/2019,15:00:00,5120,650,1.0115625
29/08/2019,15:00:00,5130,650,0.9319375
29/08/2019,15:00:00,5140,650,0.9010625
29/08/2019,15:00:00,5150,650,0.87625
29/08/2019,15:00:00,5160,650,0.9235625
29/08/2019,15:00:00,5170,650,0.88425
29/08/2019,15:00:00,5180,650,1.0501875
29/08/2019,15:00:00,5190,650,0.847625
29/08/2019,15:00:00,5200,650,0.9704375
29/08/2019,15:00:00,5210,650,1.0775
29/08/2019,15:00:00,5220,0,2.020375
29/08/2019,15:00:00,5230,0,2.9465625
29/08/2019,15:00:00,5240,0,3.3298125
29/08/2019,15:00:00,5250,0,4.0275
29/08/2019,15:00:00,5260,0,5.1266875
29/08/2019,15:00:00,5270,0,4.7995625
29/08/2019,15:00:00,5280,0,5.121875
29/08/2019,15:00:00,5290,0,5.891125
29/08/2019,15:00:00,5300,0,5.590125
29/08/2019,15:00:00,5310,0,5.187
29/08/2019,15:00:00,5320,0,4.1350625
29/08/2019,15:00:00,5330,0,4.3325
29/08/2019,15:00:00,5340,0,5.4070625
29/08/2019,15:00:00,5350,0,5.278625
29/08/2019,15:00:00,5360,0,5.281875
29/08/2019,15:00:00,5370,0,5.13225
29/08/2019,15:00:00,5380,0,4.8716875
29/08/2019,15:00:00,5390,0,5.098
29/08/2019,15:00:00,5400,0,5.3244375
29/08/2019,15:00:00,5410,0,5.438625
29/08/2019,15:00:00,5420,0,5.809
29/08/2019,15:00:00,5430,0,4.9088125
29/08/2019,15:00:00,5440,0,5.15375
29/08/2019,15:00:00,5450,0,5.1180625
29/08/2019,15:00:00,5460,0,4.7635625
29/08/2019,15:00:00,5470,0,5.0514375
29/08/2019,15:00:00,5480,0,2.1613125
29/08/2019,15:00:00,5490,750,0.92525
29/08/2019,15:00:00,5500,750,0.845875
29/08/2019,15:00:00,5510,750,0.996875
29/08/2019,15:00:00,5520,750,0.5245
29/08/2019,15:00:00,5530,750,0.62825
29/08/2019,15:00:00,5540,750,0.716125
29/08/2019,15:00:00,5550,750,0.6775625
29/08/2019,15:00:00,5560,750,0.6609375
29/08/2019,15:00:00,5570,750,0.85325
29/08/2019,15:00:00,5580,750,0.960625
29/08/2019,15:00:00,5590,750,1.267
29/08/2019,15:00:00,5600,0,1.4794375
29/08/2019,15:00:00,5610,0,2.966875
29/08/2019,15:00:00,5620,0,2.522875
29/08/2019,15:00:00,5630,0,3.0608125
29/08/2019,15:00:00,5640,0,3.13375
29/08/2019,15:00:00,5650,0,3.29125
29/08/2019,15:00:00,5660,0,3.938
29/08/2019,15:00:00,5670,0,3.6034375
29/08/2019,15:00:00,5680,0,4.352125
29/08/2019,15:00:00,5690,0,5.2016875
29/08/2019,15:00:00,5700,0,4.82
29/08/2019,15:00:00,5710,0,5.764625
29/08/2019,15:00:00,5720,0,5.6283125
29/08/2019,15:00:00,5730,0,5.29825
29/08/2019,15:00:00,5740,0,4.8244375
29/08/2019,15:00:00,5750,0,3.963375
29/08/2019,15:00:00,5760,0,5.0990625
29/08/2019,15:00:00,5770,0,5.5385625
29/08/2019,15:00:00,5780,0,5.07975
29/08/2019,15:00:00,5790,0,5.132625
29/08/2019,15:00:00,5800,0,5.77775
29/08/2019,15:00:00,5810,0,6.094125
29/08/2019,15:00:00,5820,0,5.683375
29/08/2019,15:00:00,5830,0,6.7135
29/08/2019,15:00:00,5840,0,6.0883125
29/08/2019,15:00:00,5850,0,6.24925
29/08/2019,15:00:00,5860,0,3.8639375
